Code;Nation;GDP
GBR;United Kingdom;3,074,432
JPN;Japan;5,484,951
IND;India;10,498,468
USA;United States;20,494,100
RUS;Russian Federation;3,986,064
KOR;Korea Rep.;2,090,161
FRA;France;3,073,179
ITA;Italy;2,542,974
AUS;Australia;1,288,228
TUR;Turkey;2,372,087
DEU;Germany;4,505,236
MEX;Mexico;2,519,962
THA;Thailand;1,320,373
SAU;Saudi Arabia;1,857,538
IRN;Iran Islamic Rep.;1,695,064
CHN;China;25,361,744
IDN;Indonesia;3,494,762
ESP;Spain;1,908,879
BRA;Brazil;3,365,757
CAN;Canada;1,774,034
